iteration,residual_K
1024,5.3983856466e-3
1025,5.3861358790e-3
1026,5.3739147647e-3
1027,5.3617222330e-3
1028,5.3495582129e-3
1029,5.3374226339e-3
1030,5.3253154257e-3
1031,5.3132365177e-3
1032,5.3011858404e-3
1033,5.2891633234e-3
1034,5.2771688975e-3
1035,5.2652024930e-3
1036,5.2532640407e-3
1037,5.2413534714e-3
1038,5.2294707162e-3
1039,5.2176157064e-3
1040,5.2057883735e-3
1041,5.1939886490e-3
1042,5.1822164648e-3
1043,5.1704717529e-3
1044,5.1587544454e-3
1045,5.1470644747e-3
1046,5.1354017734e-3
1047,5.1237662740e-3
1048,5.1121579097e-3
1049,5.1005766134e-3
1050,5.0890223184e-3
1051,5.0774949581e-3
1052,5.0659944660e-3
1053,5.0545207760e-3
1054,5.0430738222e-3
1055,5.0316535385e-3
1056,5.0202598594e-3
1057,5.0088927191e-3
1058,4.9975520526e-3
1059,4.9862377947e-3
1060,4.9749498801e-3
1061,4.9636882443e-3
1062,4.9524528225e-3
1063,4.9412435503e-3
1064,4.9300603633e-3
1065,4.9189031976e-3
1066,4.9077719891e-3
1067,4.8966666739e-3
1068,4.8855871884e-3
1069,4.8745334694e-3
1070,4.8635054534e-3
1071,4.8525030774e-3
1072,4.8415262783e-3
1073,4.8305749935e-3
1074,4.8196491603e-3
1075,4.8087487164e-3
1076,4.7978735992e-3
1077,4.7870237470e-3
1078,4.7761990975e-3
1079,4.7653995892e-3
1080,4.7546251603e-3
1081,4.7438757495e-3
1082,4.7331512953e-3
1083,4.7224517367e-3
1084,4.7117770128e-3
1085,4.7011270628e-3
1086,4.6905018258e-3
1087,4.6799012418e-3
1088,4.6693252499e-3
1089,4.6587737905e-3
1090,4.6482468033e-3
1091,4.6377442285e-3
1092,4.6272660065e-3
1093,4.6168120776e-3
1094,4.6063823826e-3
1095,4.5959768623e-3
1096,4.5855954576e-3
1097,4.5752381096e-3
1098,4.5649047597e-3
1099,4.5545953491e-3
1100,4.5443098195e-3
1101,4.5340481126e-3
1102,4.5238101704e-3
1103,4.5135959348e-3
1104,4.5034053479e-3
1105,4.4932383525e-3
1106,4.4830948906e-3
1107,4.4729749051e-3
1108,4.4628783388e-3
1109,4.4528051344e-3
1110,4.4427552354e-3
1111,4.4327285848e-3
1112,4.4227251262e-3
1113,4.4127448029e-3
1114,4.4027875589e-3
1115,4.3928533378e-3
1116,4.3829420837e-3
1117,4.3730537409e-3
1118,4.3631882534e-3
1119,4.3533709378e-3
1120,4.3436015438e-3
1121,4.3338544460e-3
1122,4.3241295918e-3
1123,4.3144269286e-3
1124,4.3047464041e-3
1125,4.2950879661e-3
1126,4.2854515622e-3
1127,4.2758371404e-3
1128,4.2662446490e-3
1129,4.2566740361e-3
1130,4.2471252503e-3
1131,4.2375982397e-3
1132,4.2280929532e-3
1133,4.2186093393e-3
1134,4.2091473472e-3
1135,4.1997069257e-3
1136,4.1902880239e-3
1137,4.1808905913e-3
1138,4.1715145770e-3
1139,4.1621599306e-3
1140,4.1528266019e-3
1141,4.1435145404e-3
1142,4.1342236962e-3
1143,4.1249540192e-3
1144,4.1157054596e-3
1145,4.1064779675e-3
1146,4.0972714935e-3
1147,4.0880859880e-3
1148,4.0789214017e-3
1149,4.0697776853e-3
